packet_count,byte_count,avg_packet_size,packet_rate,tcp_ratio,udp_ratio,unique_ports,label
12,4297,358.0833333333333,3.1402400780836905,0.49495253317217996,0.50504746682782,2,0
15,3712,247.46666666666667,1.6851109382403644,0.7225235785725108,0.2774764214274892,1,0
20,2335,116.75,4.177958820994084,0.8491277615487941,0.1508722384512059,3,0
18,2931,162.83333333333334,1.0534528731220512,0.639941631334254,0.36005836866574603,4,0
9,645,71.66666666666667,4.151145354374934,0.5990928704195273,0.4009071295804727,3,0
6,1847,307.8333333333333,1.4340157936704991,0.5023457200462114,0.49765427995378864,3,0
18,595,33.05555555555556,1.8735771517188438,0.6721833092357847,0.32781669076421527,5,0
5,507,101.4,3.399287500458001,0.8199398122831183,0.1800601877168817,2,0
17,604,35.529411764705884,1.858545322658185,0.834594886083995,0.165405113916005,4,0
11,1223,111.18181818181819,4.434830856511672,0.6216970492565222,0.37830295074347775,1,0
6,4402,733.6666666666666,2.2410293996952833,0.8143001207427207,0.18569987925727927,4,0
20,3404,170.2,2.7692554097955906,0.5777034997325059,0.4222965002674941,2,0
18,4426,245.88888888888889,1.4640150789996076,0.47232481710157964,0.5276751828984203,2,0
5,1137,227.4,1.391302484974295,0.8209836539568115,0.1790163460431885,4,0
10,4080,408.0,4.126964701104198,0.44694885946449375,0.5530511405355063,3,0
16,1392,87.0,2.067100695758968,0.6771296177435306,0.32287038225646936,1,0
11,2453,223.0,2.0261771106939737,0.6415027117664824,0.35849728823351756,3,0
10,857,85.7,2.326362469093118,0.6279984522208273,0.3720015477791727,1,0
8,1629,203.625,3.030235840878936,0.5387506241831911,0.4612493758168089,5,0
8,1981,247.625,1.344738514722298,0.6142487373079568,0.3857512626920432,4,0
16,2839,177.4375,2.4197506771160953,0.4511451897463135,0.5488548102536865,5,0
20,4597,229.85,1.8655997399326791,0.41823826130856273,0.5817617386914373,1,0
6,4542,757.0,3.3105072852960613,0.5222275995259533,0.4777724004740467,2,0
15,1970,131.33333333333334,4.646611184413486,0.7568277151889709,0.24317228481102915,1,0
16,4069,254.3125,4.315169273539726,0.8704085049095678,0.12959149509043222,1,0
17,2596,152.7058823529412,4.836283473071892,0.8251046962513823,0.17489530374861773,2,0
17,1999,117.58823529411765,2.513553065415169,0.6246739002475137,0.3753260997524863,1,0
14,2511,179.35714285714286,4.552827876036625,0.5522839879058089,0.4477160120941911,2,0
19,2459,129.42105263157896,3.7699050335989925,0.7253234705065614,0.27467652949343857,3,0
16,4649,290.5625,3.3318846414291357,0.7082961626571362,0.29170383734286376,3,0
17,1539,90.52941176470588,4.101339460813644,0.8324847047517652,0.16751529524823483,2,0
8,1626,203.25,2.873789349414159,0.5983941875822133,0.4016058124177867,1,0
16,900,56.25,1.173765930543004,0.7172848637233327,0.28271513627666733,5,0
5,4490,898.0,4.9779306209515735,0.7828358531556363,0.2171641468443637,4,0
20,1393,69.65,4.982713877322025,0.64333872219023,0.35666127780976997,5,0
13,1086,83.53846153846153,1.1267208780826228,0.8176195353130247,0.18238046468697533,1,0
18,956,53.111111111111114,4.0528108164621734,0.4947967038708029,0.5052032961291971,3,0
6,1741,290.1666666666667,4.171858733307275,0.4702581676613006,0.5297418323386994,2,0
